URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/sid/icd-10,2.1.1,retired,"2.16.840.1.113883.6.3",Icd10,ICD-10,"International Classification of Diseases revision 10 (ICD 10)","ValueSet/CIE10VS"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/doc-typecodes,ValueSet/doc-section-codes"
https://www.minsalud.gov.co/ihc/fhir/CodeSystem/AlergiasCS,0.4.3,draft,,AlergiasCS,Tipo Alergia,"Antecedente de Alergia","ValueSet/AlergiasVS"
https://www.minsalud.gov.co/ihc/fhir/CodeSystem/DiscapacidadCS,0.4.3,draft,,DiscapacidadCS,Discapacidad,"Identificador para determinar la categoría de discapacidad de  acuerdo con el dominio o dominios donde se presente la deficiencia o deficiencias corporales del solicitante","ValueSet/DiscapacidadVS"
https://www.minsalud.gov.co/ihc/fhir/CodeSystem/EtniaCS,0.4.3,draft,,Etnia,Etnia,"Identificador para determinar la pertenencia étnica de la persona.","ValueSet/EtniaVS"
https://www.minsalud.gov.co/ihc/fhir/CodeSystem/IdentidadGeneroCS,0.4.3,draft,,IdentidadGenero,Identidad de genero,"Identidad de Género.","ValueSet/IdentidadGeneroVS"
https://www.minsalud.gov.co/ihc/fhir/CodeSystem/IdspersonaColombia,0.4.3,active,,IdspersonaColombia,Identificadores de Persona,"Elemento de dato que contiene el nombre y número de identificación de una determinada persona para efectos de identidad e individualización","ValueSet/IdentificadoresPersonaVS,ValueSet/IdentificadoresProfesionalVS"
https://www.minsalud.gov.co/ihc/fhir/CodeSystem/PaisesCS,0.4.3,active,,PaisesCS,Códigos del País CS,"Codigos definidos para la identificación de países segun norma ISO3166-N","ValueSet/PaisesVS"
https://www.minsalud.gov.co/ihc/fhir/CodeSystem/ZonaResidenciaCS,0.4.3,draft,,ZonaResidencia,Zona de residencia,"Identificador para representar la Zona.","ValueSet/ZonaResidenciaVS"
